ge,seat,data
prn2023,state,"{'pl-prn2023-state': {}, 'kd-prn2023-state': {'PN': 33, 'PH': 3}, 'pn-prn2023-state': {'PH': 27, 'PN': 11, 'BN': 2}, 'pr-prn2023-state': {}, 'ke-prn2023-state': {'PN': 43, 'BN': 1, 'PH': 1}, 'tr-prn2023-state': {'PN': 32}, 'ph-prn2023-state': {}, 'sl-prn2023-state': {'PH': 32, 'PN': 22, 'BN': 2}, 'wp-prn2023-state': {}, 'ns-prn2023-state': {'PH': 17, 'BN': 14, 'PN': 5}, 'mk-prn2023-state': {}, 'jh-prn2023-state': {}, 'sw-prn2023-state': {}, 'la-prn2023-state': {}, 'sb-prn2023-state': {}}"
sarawak2021,parliament,"{'pl-prn2023-parliament': {}, 'kd-prn2023-parliament': {}, 'pn-prn2023-parliament': {}, 'pr-prn2023-parliament': {}, 'ke-prn2023-parliament': {}, 'tr-prn2023-parliament': {}, 'ph-prn2023-parliament': {}, 'sl-prn2023-parliament': {}, 'wp-prn2023-parliament': {}, 'ns-prn2023-parliament': {}, 'mk-prn2023-parliament': {}, 'jh-prn2023-parliament': {}, 'sw-prn2023-parliament': {}, 'la-prn2023-parliament': {}, 'sb-prn2023-parliament': {}}"
melaka2021,state,"{'pl-sarawak2021-state': {}, 'kd-sarawak2021-state': {}, 'pn-sarawak2021-state': {}, 'pr-sarawak2021-state': {}, 'ke-sarawak2021-state': {}, 'tr-sarawak2021-state': {}, 'ph-sarawak2021-state': {}, 'sl-sarawak2021-state': {}, 'wp-sarawak2021-state': {}, 'ns-sarawak2021-state': {}, 'mk-sarawak2021-state': {}, 'jh-sarawak2021-state': {}, 'sw-sarawak2021-state': {'GPS': 76, 'PSB': 4, 'DAP': 2}, 'la-sarawak2021-state': {}, 'sb-sarawak2021-state': {}}"
sabah2020,parliament,"{'pl-sarawak2021-parliament': {}, 'kd-sarawak2021-parliament': {}, 'pn-sarawak2021-parliament': {}, 'pr-sarawak2021-parliament': {}, 'ke-sarawak2021-parliament': {}, 'tr-sarawak2021-parliament': {}, 'ph-sarawak2021-parliament': {}, 'sl-sarawak2021-parliament': {}, 'wp-sarawak2021-parliament': {}, 'ns-sarawak2021-parliament': {}, 'mk-sarawak2021-parliament': {}, 'jh-sarawak2021-parliament': {}, 'sw-sarawak2021-parliament': {}, 'la-sarawak2021-parliament': {}, 'sb-sarawak2021-parliament': {}}"
sarawak2016,state,"{'pl-melaka2021-state': {}, 'kd-melaka2021-state': {}, 'pn-melaka2021-state': {}, 'pr-melaka2021-state': {}, 'ke-melaka2021-state': {}, 'tr-melaka2021-state': {}, 'ph-melaka2021-state': {}, 'sl-melaka2021-state': {}, 'wp-melaka2021-state': {}, 'ns-melaka2021-state': {}, 'mk-melaka2021-state': {'UMNO': 18, 'DAP': 4, 'BERSATU': 2, 'MCA': 2, 'AMANAH': 1, 'MIC': 1}, 'jh-melaka2021-state': {}, 'sw-melaka2021-state': {}, 'la-melaka2021-state': {}, 'sb-melaka2021-state': {}}"
ge15,parliament,"{'pl-melaka2021-parliament': {}, 'kd-melaka2021-parliament': {}, 'pn-melaka2021-parliament': {}, 'pr-melaka2021-parliament': {}, 'ke-melaka2021-parliament': {}, 'tr-melaka2021-parliament': {}, 'ph-melaka2021-parliament': {}, 'sl-melaka2021-parliament': {}, 'wp-melaka2021-parliament': {}, 'ns-melaka2021-parliament': {}, 'mk-melaka2021-parliament': {}, 'jh-melaka2021-parliament': {}, 'sw-melaka2021-parliament': {}, 'la-melaka2021-parliament': {}, 'sb-melaka2021-parliament': {}}"
ge14,state,"{'pl-sabah2020-state': {}, 'kd-sabah2020-state': {}, 'pn-sabah2020-state': {}, 'pr-sabah2020-state': {}, 'ke-sabah2020-state': {}, 'tr-sabah2020-state': {}, 'ph-sabah2020-state': {}, 'sl-sabah2020-state': {}, 'wp-sabah2020-state': {}, 'ns-sabah2020-state': {}, 'mk-sabah2020-state': {}, 'jh-sabah2020-state': {}, 'sw-sabah2020-state': {}, 'la-sabah2020-state': {}, 'sb-sabah2020-state': {'WARISAN': 29, 'PN': 17, 'BN': 14, 'PBS': 7, 'BEBAS': 3, 'PKR': 2, 'UPKO': 1}}"
ge13,parliament,"{'pl-sabah2020-parliament': {}, 'kd-sabah2020-parliament': {}, 'pn-sabah2020-parliament': {}, 'pr-sabah2020-parliament': {}, 'ke-sabah2020-parliament': {}, 'tr-sabah2020-parliament': {}, 'ph-sabah2020-parliament': {}, 'sl-sabah2020-parliament': {}, 'wp-sabah2020-parliament': {}, 'ns-sabah2020-parliament': {}, 'mk-sabah2020-parliament': {}, 'jh-sabah2020-parliament': {}, 'sw-sabah2020-parliament': {}, 'la-sabah2020-parliament': {}, 'sb-sabah2020-parliament': {}}"
ge12,state,"{'pl-sarawak2016-state': {}, 'kd-sarawak2016-state': {}, 'pn-sarawak2016-state': {}, 'pr-sarawak2016-state': {}, 'ke-sarawak2016-state': {}, 'tr-sarawak2016-state': {}, 'ph-sarawak2016-state': {}, 'sl-sarawak2016-state': {}, 'wp-sarawak2016-state': {}, 'ns-sarawak2016-state': {}, 'mk-sarawak2016-state': {}, 'jh-sarawak2016-state': {}, 'sw-sarawak2016-state': {'BN': 72, 'DAP': 7, 'PKR': 3}, 'la-sarawak2016-state': {}, 'sb-sarawak2016-state': {}}"
ge11,parliament,"{'pl-sarawak2016-parliament': {}, 'kd-sarawak2016-parliament': {}, 'pn-sarawak2016-parliament': {}, 'pr-sarawak2016-parliament': {}, 'ke-sarawak2016-parliament': {}, 'tr-sarawak2016-parliament': {}, 'ph-sarawak2016-parliament': {}, 'sl-sarawak2016-parliament': {}, 'wp-sarawak2016-parliament': {}, 'ns-sarawak2016-parliament': {}, 'mk-sarawak2016-parliament': {}, 'jh-sarawak2016-parliament': {}, 'sw-sarawak2016-parliament': {}, 'la-sarawak2016-parliament': {}, 'sb-sarawak2016-parliament': {}}"
