ge,seat,region,party,count
prn2023,state,kd-prn2023-state,PN,33
prn2023,state,kd-prn2023-state,PH,3
prn2023,state,pn-prn2023-state,PH,27
prn2023,state,pn-prn2023-state,PN,11
prn2023,state,pn-prn2023-state,BN,2
prn2023,state,ke-prn2023-state,PN,43
prn2023,state,ke-prn2023-state,BN,1
prn2023,state,ke-prn2023-state,PH,1
prn2023,state,tr-prn2023-state,PN,32
prn2023,state,sl-prn2023-state,PH,32
prn2023,state,sl-prn2023-state,PN,22
prn2023,state,sl-prn2023-state,BN,2
prn2023,state,ns-prn2023-state,PH,17
prn2023,state,ns-prn2023-state,BN,14
prn2023,state,ns-prn2023-state,PN,5
melaka2021,state,sw-sarawak2021-state,GPS,76
melaka2021,state,sw-sarawak2021-state,PSB,4
melaka2021,state,sw-sarawak2021-state,DAP,2
sarawak2016,state,mk-melaka2021-state,UMNO,18
sarawak2016,state,mk-melaka2021-state,DAP,4
sarawak2016,state,mk-melaka2021-state,BERSATU,2
sarawak2016,state,mk-melaka2021-state,MCA,2
sarawak2016,state,mk-melaka2021-state,AMANAH,1
sarawak2016,state,mk-melaka2021-state,MIC,1
ge14,state,sb-sabah2020-state,WARISAN,29
ge14,state,sb-sabah2020-state,PN,17
ge14,state,sb-sabah2020-state,BN,14
ge14,state,sb-sabah2020-state,PBS,7
ge14,state,sb-sabah2020-state,BEBAS,3
ge14,state,sb-sabah2020-state,PKR,2
ge14,state,sb-sabah2020-state,UPKO,1
ge12,state,sw-sarawak2016-state,BN,72
ge12,state,sw-sarawak2016-state,DAP,7
ge12,state,sw-sarawak2016-state,PKR,3
prn2023,state,pl-ge15-state,PN,14
prn2023,state,pl-ge15-state,PH,1
prn2023,state,pr-ge15-state,PN,26
prn2023,state,pr-ge15-state,PH,24
prn2023,state,pr-ge15-state,BN,9
prn2023,state,ph-ge15-state,PN,17
prn2023,state,ph-ge15-state,BN,17
prn2023,state,ph-ge15-state,PH,8
prn2023,state,sb-ge15-state,WARISAN,1
sarawak2021,parliament,pl-ge15-parliament,PN,3
sarawak2021,parliament,kd-ge15-parliament,PN,14
sarawak2021,parliament,kd-ge15-parliament,PH,1
sarawak2021,parliament,pn-ge15-parliament,PH,10
sarawak2021,parliament,pn-ge15-parliament,PN,3
sarawak2021,parliament,pr-ge15-parliament,PH,11
sarawak2021,parliament,pr-ge15-parliament,PN,10
sarawak2021,parliament,pr-ge15-parliament,BN,3
sarawak2021,parliament,ke-ge15-parliament,PAS,14
sarawak2021,parliament,tr-ge15-parliament,PAS,8
sarawak2021,parliament,ph-ge15-parliament,PN,7
sarawak2021,parliament,ph-ge15-parliament,BN,5
sarawak2021,parliament,ph-ge15-parliament,PH,2
